Paired,TubeID,Medium,Date,AnalysisDate,DaysSince,Time,Monkey,Sex,Age,Group,Observer,AnalysisMethod,Total ml,FecesWeight,Diversity,TotalPara,PFG,FilaPFG,StrongPFG,Total3,Total2,Total1,TotalR,AvRating,UID_egg_total,UIDegg3,UIDegg2,UIDegg1,UID_larvae_total,UIDlarv3,UIDlarv2,UIDlarv1,UID_worm_total,UIDWorm3,UIDWorm2,UIDWorm1,FilaPres,FilaTotal,Fila3,Fila2,Fila1,StrongPres,StrongTotal,Strong3,Strong2,Strong1,StlvTotal,Stlv3,Stlv2,Stlv1,CeleTotal,Cele3,Cele2,Cele1,Prosthenorchis,Necator americanus (55-77µm),Hookworm egg,HookwormTotal,HW3,HW2,HW1
1,PA-662,Ethanol,6-Jul-21,14-Jul-22,373,7:04,Kopa,Hembra,SJF,RM,JKH,sedimentation,7,1.19,3,13,11,2,8,11,2,0,13,2.85,2,2,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,1,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,PA-663,Formalin,6-Jul-21,7-Jul-22,366,7:04,Kopa,Hembra,SJF,RM,JKH,sedimentation,10.5,1.6,7,28,18,1,7,26,2,0,28,2.93,1,1,0,0,6,6,0,0,0,0,0,0,1,1,1,0,0,1,11,9,2,0,1,1,0,0,8,8,0,0,0,0,0,0,0,0,0
2,PA-669,Ethanol,19-Jul-21,16-Jun-22,332,8:14,Kenai,Macho,AM,AD,JKH,sedimentation,7,2.08,2,290,139,134,6,13,146,131,290,1.59,0,0,0,0,0,0,0,0,0,0,0,0,1,278,1,146,131,1,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,PA-670,Formalin,19-Jul-21,14-Jun-22,330,8:14,Kenai,Macho,AM,AD,JKH,sedimentation,11,3.28,7,949,289,283,4,877,54,14,945,2.91,1,1,0,0,4,3,1,0,0,0,0,0,1,929,859,52,14,1,14,13,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,PA-677,Ethanol,19-Jul-21,16-Sep-22,424,10:00,Lampwick,Hembra,AF,AD,JKH,sedimentation,6.5,2.62,2,390,149,148,1,7,102,281,390,1.3,0,0,0,0,0,0,0,0,0,0,0,0,1,387,4,102,281,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,PA-678,Formalin,19-Jul-21,28-Oct-22,466,10:00,Lampwick,Hembra,AF,AD,JKH,sedimentation,11,3.03,2,399,132,130,2,392,5,2,399,2.98,0,0,0,0,0,0,0,0,0,0,0,0,1,394,388,4,2,1,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,PA-679,Ethanol,19-Jul-21,17-Jun-22,333,11:15,Badger,Macho,AM,AD,HH,sedimentation,7,1.98,4,9,5,3,0,5,1,3,9,2.22,0,0,0,0,2,2,0,0,0,0,0,0,1,5,1,1,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4,PA-680,Formalin,19-Jul-21,28-Jun-22,344,11:15,Badger,Macho,AM,AD,JKH,sedimentation,11,2.83,6,23,8,6,0,20,2,1,23,2.83,0,0,0,0,1,1,0,0,5,4,0,1,1,16,15,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,PA-681,Ethanol,20-Jul-21,9-Sep-22,416,9:20,Sully,Macho,LJM,RM,JKH,sedimentation,7.5,3.17,3,109,34,26,2,5,17,68,90,1.3,0,0,0,0,0,0,0,0,0,0,0,0,1,84,0,16,68,1,6,5,1,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
5,PA-682,Formalin,20-Jul-21,16-Sep-22,423,9:20,Sully,Macho,LJM,RM,JKH,sedimentation,10.5,0.9,3,317,352,316,19,301,0,0,301,3,0,0,0,0,0,0,0,0,0,0,0,0,1,284,284,0,0,1,17,17,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
6,PA-687,Ethanol,10-Aug-21,10-May-22,273,7:16,Hippogriff,Hembra,AF,GN,JKH,sedimentation,6.8,1.7,4,499,294,291,0,9,384,106,499,1.81,1,0,1,0,1,1,0,0,0,0,0,0,1,494,7,381,106,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,,,
6,PA-688,Formalin,10-Aug-21,12-May-22,275,7:16,Hippogriff,Hembra,AF,GN,JKH/MCH,floatation/sedimentation,11,2.22,2,123,55,55,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,122,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7,PA-690,Ethanol,10-Aug-21,1-Jun-22,295,8:45,Petunia,Hembra,AF,GN,JC/JKH,sedimentation,7,2.24,4,929,415,408,4,66,477,416,959,1.64,0,0,0,0,3,1,1,1,0,0,0,0,1,915,56,474,415,1,8,7,1,0,3,2,1,0,0,0,0,0,0,0,0,0,,,
7,PA-691,Formalin,10-Aug-21,31-May-22,294,8:45,Petunia,Hembra,AF,GN,JKH/JC,sedimentation,11,2.57,9,611,238,232,3,508,102,1,611,2.83,6,4,1,1,2,2,0,0,0,0,0,0,1,595,494,101,0,1,7,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,
8,PA-692,Ethanol,10-Aug-21,5-Jul-22,329,9:00,ElvisCrespo,Macho,AM,GN,JKH,sedimentation,7,1.63,2,1037,636,634,2,18,504,515,1037,1.52,0,0,0,0,0,0,0,0,0,0,0,0,1,1033,16,502,515,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
